episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
20,-6.953997893910855,-8288.9978515625,11297.98828125,9985.621850850153,12752.0,1841.1
40,-5.822060737479478,-8502.297851562498,11297.98828125,10175.87630966101,13022.0,1819.8
60,-5.474892765656113,-8050.417851562501,11297.98828125,9695.314684916568,12450.0,1842.3
80,-5.686517495289445,-8282.6778515625,11297.98828125,9974.007526188438,12744.0,1817.7
100,-5.371677833329886,-7777.077851562502,11297.98828125,9443.81051107105,12104.0,1849.5
120,-5.103223867435008,-7317.297851562502,11297.98828125,8986.117787376232,11522.0,1777.8
140,-5.025356957409531,-7130.8578515625,11297.98828125,8892.849168430268,11286.0,1804.2
160,-4.736221035383641,-6660.017851562503,11297.98828125,8324.377071957011,10690.0,1740.0
180,-4.2924125631339844,-5963.237851562503,11297.98828125,7682.735792464297,9808.0,1665.0
200,-3.656028587464243,-5031.037851562504,11297.98828125,6753.441004480095,8628.0,1630.5
220,-3.348352862242609,-4565.714745971684,11253.071240234374,6399.167223078432,8030.0,1567.2
240,-2.751437332481146,-3733.857851562502,11297.98828125,5479.080238560494,6986.0,1521.0
260,-2.106270272936672,-2860.1178515625006,11297.98828125,4564.180767822591,5880.0,1461.9
280,-1.4135008761659265,-1929.4978515624985,11297.98828125,3668.221524443617,4702.0,1436.7
300,-0.9460507881827652,-1303.8178515624984,11297.98828125,2997.682342380751,3910.0,1369.8
320,-0.44118543080985545,-615.9182056884754,11271.783544921875,2306.7614255030176,3034.0,1285.5
340,-0.07119254367426038,-100.56135852050686,11293.535693359376,1810.9231351722963,2386.0,1288.5
360,0.1675903250463307,240.54908850097695,11262.46259765625,1439.1690211647656,1948.0,1232.7
380,0.4293811765499413,625.0651655273439,11256.108642578125,976.8155706925652,1460.0,1155.3
400,0.6625172848813236,977.9538307495117,10489.581176757812,555.2011920755729,860.0,1003.8
420,0.6599683353677392,986.5412197113037,9303.931799316406,374.73873926089146,612.0,1022.4
440,0.72775789340958,1097.7902875976565,9578.039794921875,292.95693432093833,526.0,957.9
460,0.7610224364325404,1155.3706893310546,9782.47275390625,261.27685780712636,494.0,884.4
480,0.8149507320486009,1241.7237888793948,10439.011328125,271.6942407879513,516.0,845.7
500,0.7591182586736978,1158.609525390625,9482.9716796875,210.63649440554727,430.0,899.4
520,0.84341826653108,1287.5129584350584,10368.816235351562,218.6337857668521,444.0,878.7
540,0.8547569216229022,1303.6264752197264,10080.800463867188,177.7903450291604,366.0,858.9
560,0.8642557876184582,1314.9822623291016,10522.67255859375,219.4151613417198,440.0,872.7
580,0.8249132501892745,1250.9392131347654,10047.3369140625,225.48513525044547,426.0,900.3
600,0.8608846847899259,1300.4370816650392,9990.614453125,185.0556557192387,352.0,913.5
620,0.9025120786391199,1357.2428841552735,10570.144873046875,212.0453706120141,396.0,920.7
640,0.8989523570984602,1345.2995441894532,10294.554077148438,186.6884846342611,356.0,903.6
660,0.8816178299486637,1312.4716593017579,9836.782568359375,156.3781218809425,306.0,901.2
680,0.9229231706820429,1366.6949660644534,10149.968115234375,148.80685339679476,300.0,876.3
700,0.8675437073223293,1277.4089577636719,9544.866796875,142.99652758406592,292.0,873.6
720,0.9140072588808834,1338.011061279297,9858.424438476562,127.75454036197625,278.0,853.8
740,0.9459132483229041,1376.5179680175784,10092.139038085938,134.22265018824146,276.0,915.3
760,0.9145640453323722,1322.7771475830077,9892.007373046876,131.59610387710853,304.0,922.2
780,0.9587007968686521,1377.882386352539,10270.774609375,141.99911406338214,310.0,928.5
800,0.955295545514673,1364.1483973999025,10373.850634765626,163.3763637942262,348.0,955.2
820,0.9857394425198436,1398.597021484375,10281.879858398437,128.10983941894955,286.0,927.3
840,1.008020812831819,1420.9169902343751,10743.145556640626,163.76881942227482,350.0,956.4
860,1.009195540845394,1413.27636328125,10614.787109375,162.8544397899881,334.0,954.6
880,1.0047697192057967,1397.8140419921874,10346.92421875,135.84714774088934,300.0,914.4
900,0.9988641646690667,1380.5156650390625,10187.440893554687,141.33077804958447,290.0,938.4
920,0.9952986896038055,1366.638503051758,10329.6107421875,142.77582199368626,336.0,910.8
940,1.010988910868764,1379.177481994629,10188.9712890625,133.01137979924678,292.0,927.6
960,1.0637485133484006,1441.7403709106445,10574.93896484375,119.20032623296137,290.0,906.3
980,1.027276514377445,1383.497852355957,10126.31552734375,95.88886045794933,274.0,881.7
1000,1.0576826704666018,1415.360619934082,10457.978515625,123.64003548845649,300.0,918.6
1020,1.0644124812446534,1415.2795321044923,10457.4654296875,130.71469756839798,300.0,915.9
1040,1.099538012035191,1452.8054337768556,10614.97109375,111.47260921484849,284.0,877.8
1060,1.0667392996139824,1400.6748265991212,10285.030615234375,117.51356342285871,284.0,907.5
1080,1.1069275059737265,1444.216295715332,10660.609375,121.65929629411548,304.0,909.6
1100,1.1148641055449844,1445.6570331420896,10519.727978515624,101.97951333415695,274.0,907.8
1120,1.1028354767709971,1421.3770263671875,10276.057177734376,100.72937733389554,256.0,888.6
1140,1.091196283698082,1397.7962930297854,10336.811987304687,124.49848078569339,298.0,873.0
1160,1.126170899067074,1433.9269459228512,10475.487060546875,114.46664003776387,280.0,900.6
1180,1.1372420469298958,1439.3520626220704,10499.8232421875,105.55701492010849,278.0,852.3
1200,1.1547753646969796,1452.8113163452151,10685.008349609376,122.87878114394843,298.0,903.3
1220,1.1613236938603222,1452.4697850341797,10542.84677734375,104.65996454735287,270.0,870.9
1240,1.150848257355392,1430.98672253418,10276.877978515626,88.2039645270299,244.0,856.2
1260,1.0804688382893801,1335.7925325927731,9654.383154296875,91.74999175751582,240.0,859.2
1280,1.1834487550891937,1454.749203125,10577.273583984375,108.17726582447067,274.0,851.4
1300,1.162511765025556,1420.9204715576172,10253.167578125,101.25752532747575,252.0,834.0
1320,1.2113578645512462,1472.273890197754,10608.18916015625,93.98327325426507,258.0,831.0
1340,1.2091689405962824,1461.4292934570315,10779.552392578125,119.4986011740053,306.0,810.6
1360,1.2470727085135878,1498.8805057983395,10826.585498046876,97.60552784994361,268.0,832.8
1380,1.247329001314938,1490.9539570922855,10896.417529296876,109.08784830921795,292.0,831.0
1400,1.2320673412643373,1464.7586680297852,10520.6244140625,99.87148010744713,250.0,842.4
1420,1.229133871383965,1453.4368889160155,10378.9677734375,89.05075964239659,236.0,816.0
1440,1.2414877608418464,1460.2348958129883,10561.99296875,103.16481812105049,264.0,815.4
1460,1.2258234741166234,1434.2470830078123,10357.51318359375,92.25307961318467,256.0,831.3
1480,1.2640508237294852,1471.2804835205077,10611.9017578125,92.4464583369374,260.0,822.6
1500,1.2679130759090185,1468.0686301269532,10631.57373046875,95.42626774762758,268.0,828.6
1520,1.2935667891055345,1490.1311304321287,10721.209765625,87.98271035195793,258.0,827.1
1540,1.2999910316430032,1489.9596680297852,10740.124462890624,88.37622421346605,262.0,826.8
1560,1.2854902436956763,1465.8936228027342,10507.8078125,93.2957558019043,246.0,817.2
1580,1.311804423853755,1488.452790283203,10640.5873046875,81.98527626867435,244.0,794.1
1600,1.3364702118560672,1508.9625770263674,10810.396044921876,91.03821447931696,252.0,792.6
1620,1.3550500594079495,1522.4382103271487,10895.68486328125,89.41438528947765,252.0,819.9
1640,1.3450409962795675,1503.8607846069337,10648.106201171875,79.84023055080324,226.0,792.3
1660,1.3489243661053478,1500.980264465332,10759.87509765625,97.19095249483362,252.0,791.4
1680,1.350418529380113,1495.4714995727536,10625.009423828125,80.0663304065587,232.0,783.6
1700,1.3575495745055377,1496.2745906982423,10630.09228515625,86.39143928214908,232.0,783.0
1720,1.3484652276150881,1479.3113995971678,10362.730322265625,75.28135970290751,200.0,777.9
1740,1.3499457931146026,1474.130264831543,10339.938427734374,70.70293806481641,202.0,786.6
1760,1.3716575344093145,1490.9587161865234,10556.447607421875,80.78509187329037,224.0,813.3
1780,1.3958015367388725,1510.3012615356442,10658.868701171876,80.66753873795415,220.0,809.4
1800,1.4047395014204085,1513.0860693969726,10726.494091796874,86.88813219160075,230.0,817.5
1820,1.4003072981722653,1501.5844765625,10633.699169921874,83.51061877074535,226.0,822.0
1840,1.4105834178626537,1505.8828596191404,10620.90419921875,80.84803813686594,218.0,806.7
1860,1.4360012248158456,1526.239236694336,10789.7419921875,85.20147258001961,226.0,790.8
1880,1.4531339011155069,1537.7147099609374,10882.371630859376,81.04053595792793,230.0,792.3
1900,1.4167152161709964,1492.6599067382817,10647.214599609375,84.01020151355769,240.0,792.6
1920,1.4086652968078852,1477.792250427246,10513.11552734375,83.17503859195858,232.0,799.5
1940,1.457842529192567,1522.8621217041016,10898.367724609376,97.75389450790826,252.0,828.0
1960,1.4758880108594894,1535.1613184814453,10886.210888671874,87.91564290591342,234.0,811.5
1980,1.446704520471394,1498.4834951171877,10604.072705078124,81.37049880214036,224.0,840.6
2000,1.4789742059074342,1525.5407540283204,10835.32119140625,93.19319202676415,236.0,835.8
