episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
20,-1.8997464776970445,-240.12785156249956,11297.98828125,9985.621850850153,12752.0,1841.1
40,-0.6777426816523076,-207.45785156249957,11297.98828125,10216.208441528772,13084.0,1811.4
60,-0.7560147804208099,-230.8878515624996,11297.98828125,9845.624379984383,12680.0,1832.7
80,-0.6148956381715834,-189.3078515624996,11297.98828125,10212.462981256564,13042.0,1794.9
100,-0.553313827700913,-169.83785156249934,11297.98828125,9887.027526094951,12712.0,1777.2
120,-0.35519130500033497,-108.78785156249933,11297.98828125,9849.81219727071,12702.0,1721.7
140,-0.3107496561482549,-94.92785156249947,11297.98828125,10093.574008074962,12840.0,1709.1
160,0.2143669269979,64.13214843750058,11297.98828125,9936.712070450001,12842.0,1564.5
180,0.5940084975212813,177.90681005859446,10932.005126953125,10058.905626768897,13012.0,1408.5
200,1.1696719074621797,349.9121484375008,11297.98828125,9475.449141594581,12350.0,1304.7
220,1.6792740679346025,500.403292419434,11191.53984375,9225.345743569173,12112.0,1152.6
240,2.304805427789688,687.1721484374996,11297.98828125,9046.202952701668,12142.0,998.1
260,2.6156438794918357,782.2060090332026,11045.227905273438,8851.662874898966,12040.0,875.4
280,2.8230380387976766,847.7251347656244,10985.7919921875,8566.685975013952,11744.0,807.3
300,3.4066995017230512,1029.1320062255852,11100.075927734375,8398.958992284093,12114.0,658.8
320,3.0905926929786802,940.5749349975582,10048.765405273438,8120.339270228787,11966.0,588.3
340,3.503659211285412,1071.5722323608393,10896.659643554687,8161.471422079415,11748.0,591.0
360,3.7054051007144153,1137.9941644897458,11070.596044921875,8374.386081765988,12254.0,555.6
380,3.851780366431922,1188.2931606445309,10822.9314453125,8263.879732214613,12464.0,474.3
400,4.028445199970156,1248.6358441772459,10797.56865234375,7795.689018387941,12330.0,415.8
420,4.112128536403179,1278.7917246093746,10846.40341796875,8059.629291010671,12964.0,395.4
440,4.26640667533502,1329.3209703979487,11103.550390625,8121.562670956389,13202.0,386.4
460,4.317184262908995,1346.8528366699215,10855.271044921876,7576.964525589475,12922.0,334.8
480,4.357737884297967,1361.3049324951173,10752.499536132813,7646.9182216672225,13358.0,306.9
500,4.555390316527337,1423.7155897216796,10917.756958007812,7390.577318995539,13902.0,273.9
520,4.750633548758924,1484.6657437744143,11151.048974609375,6893.770973588963,13564.0,252.0
540,4.601131714694202,1437.0415305786132,10812.035009765625,7029.052649909514,13890.0,246.6
