episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
20,-7.747190454916563,-20388.287851562498,11297.98828125,9985.621850850153,12752.0,1841.1
40,-6.492234010098036,-20776.507851562492,11297.98828125,10169.373311380483,13014.0,1817.7
60,-6.183327310346067,-19914.80785156249,11297.98828125,9697.783636314702,12454.0,1838.7
80,-6.378923837968614,-20386.55785156249,11297.98828125,9994.690349932853,12772.0,1810.8
100,-6.112721194990445,-19432.83785156249,11297.98828125,9468.108486622852,12150.0,1837.2
120,-5.932831988041289,-18708.237851562488,11297.98828125,9146.659948344715,11734.0,1776.0
140,-5.877301120711491,-18377.227851562486,11297.98828125,9065.064355904422,11508.0,1799.7
160,-5.700835060502868,-17685.127851562494,11297.98828125,8637.815288507752,11118.0,1730.7
180,-5.386114899255335,-16527.74785156249,11297.98828125,8148.954558333475,10426.0,1672.5
200,-4.832888190972153,-14689.777851562496,11297.98828125,7235.862120115291,9288.0,1636.2
220,-4.536494630295783,-13646.687047363279,11211.980712890625,6876.006348991347,8666.0,1569.0
240,-3.969964004319627,-11863.667851562504,11297.98828125,5953.5322122969665,7586.0,1511.7
260,-3.338952297263313,-9955.627851562505,11297.98828125,5023.461171805067,6426.0,1443.3
280,-2.69698417596519,-8052.047851562503,11297.98828125,4117.337069394486,5240.0,1416.3
300,-2.2558483123662882,-6763.527851562508,11297.98828125,3456.32582951691,4498.0,1310.7
320,-1.6014332045335322,-4846.963890075693,11115.165234375,2555.1904620009473,3368.0,1165.2
340,-1.2355292736785486,-3783.359256103523,11291.903466796875,2040.3655015795491,2710.0,1168.8
360,-0.9114791821921244,-2827.711511718753,11258.724609375,1595.4865645784885,2148.0,1102.5
380,-0.6714107638108544,-2107.5909813232415,11258.7279296875,1215.8815457890391,1734.0,1042.5
400,-0.28491213571978735,-905.1230510559051,9992.259118652344,659.118497605063,976.0,856.2
420,-0.18013114150380716,-579.5958232421847,9910.216357421876,507.12874134944286,772.0,841.5
440,-0.0846172800171189,-275.1045482788063,9718.072448730469,350.98580521654515,582.0,810.0
460,-0.0015871751587837935,-5.141098403929243,9653.28409423828,252.52822545843665,474.0,710.4
480,0.00846596151823178,28.054345581055816,9629.394580078126,240.8195829481818,460.0,696.9
500,0.00042601239401847125,1.5157350311283095,7245.162890625,147.01634786257054,272.0,648.6
520,0.051122486731037496,169.64795428466792,8427.265588378907,138.64131336710415,298.0,628.2
540,0.04084436384728178,135.70638610839802,7282.065844726562,109.45482339267619,220.0,606.6
560,0.09020756153622642,299.77031994628845,8171.96396484375,111.83265536457766,244.0,550.8
580,0.08142085766885429,270.31331159973087,6631.729779052735,76.97045991534978,160.0,477.0
600,0.1287695865612477,426.8990278625482,7752.398937988281,83.29844917770751,188.0,455.4
620,0.14516840698197483,480.13162951660115,7223.301489257812,67.7885391377844,158.0,374.1
640,0.15832723812200128,522.1836813049313,7451.668774414063,70.74912295794347,182.0,334.2
660,0.14792820767033846,486.3100601806635,6883.734594726562,63.52969085178338,150.0,331.2
680,0.18827295660739765,616.5643918609616,7724.268280029297,56.85832346008683,156.0,324.9
700,0.1920854116906412,626.4885467376705,7676.95288696289,61.45563270468847,150.0,317.7
720,0.19553091985872015,634.5838144226071,7172.176000976562,47.302528498630274,118.0,283.8
740,0.24524212962714956,792.3877182006833,8349.795629882812,49.644573603000026,148.0,266.4
760,0.21710959767224267,697.8894021606442,7899.1734619140625,51.141561420180366,164.0,264.6
780,0.2300600569578819,735.7051773681637,8306.4884765625,56.30965543813072,162.0,291.6
800,0.27187323102261873,864.7302847290036,9046.710668945312,55.61927481179591,160.0,283.5
820,0.27451056776335464,868.1090162353512,9241.639379882812,59.853419055510315,202.0,248.1
840,0.28918632976710795,909.2591986083983,9413.159594726563,53.901859661500204,200.0,238.2
860,0.2642341578612104,825.9010577087398,8899.057397460938,58.23423669358017,212.0,222.9
880,0.3076049980358221,955.9812665100093,9194.311743164062,46.5527085842099,164.0,216.0
900,0.2962221722700633,915.3800671997067,8839.11435546875,47.88084357122425,150.0,222.0
920,0.3163764740107581,971.8959873046872,9653.139233398437,51.45019854530692,176.0,250.2
940,0.30849223179975527,941.9869385986325,9529.221069335938,55.04515358222416,184.0,248.1
960,0.3119366398314014,946.8218597412108,9594.758544921875,50.684500679688064,190.0,244.5
980,0.3123050997150131,942.3065085449216,9186.560205078125,45.22973114491906,170.0,218.7
1000,0.28959896229207516,868.554985595703,8426.677075195312,41.95238965745084,148.0,208.2
1020,0.316234587947838,942.9666892089841,8931.11826171875,45.1553430786822,162.0,192.9
1040,0.30786329560214654,912.6305322265623,8260.319873046876,37.87787243702915,116.0,190.2
1060,0.30515908169327305,899.4793233032224,8202.21083984375,41.73137904983014,130.0,173.7
1080,0.32797090767417103,961.1316378173824,8741.402807617187,42.84956116130343,152.0,163.5
1100,0.3167233870131895,922.8561578979491,8518.456689453125,39.680988186819015,132.0,195.0
1120,0.3158973416197114,915.2324788818357,8163.4334716796875,36.164942901581526,122.0,165.3
1140,0.32844674980733546,946.1484075927734,8521.44560546875,37.89514241083525,128.0,180.0
1160,0.34900120391976086,999.696927856445,9109.031103515625,39.40836954205297,156.0,175.5
1180,0.3449016934493557,982.3089040527342,8713.917065429687,37.55395144922659,130.0,171.9
1200,0.3433139942586422,972.3197439270016,8889.491967773438,41.241493796324356,152.0,174.6
1220,0.3566244757035747,1004.4077257080077,9023.593237304687,38.45845878360124,138.0,184.8
1240,0.3509887021267787,983.0143039550779,8685.533471679688,37.89770463923924,124.0,175.8
1260,0.35349762795958667,984.5231699829098,8807.045361328124,39.50101773624774,140.0,168.9
1280,0.3790220918599516,1049.9160741577148,9092.31689453125,36.84649468138814,138.0,153.3
1300,0.3622838179115206,998.1911942749023,8545.57705078125,36.35852494041901,124.0,141.9
1320,0.35184398846467957,964.1852834472654,8546.48916015625,37.93832109374925,150.0,135.6
1340,0.3521848836215213,960.0042863769529,8367.495556640624,38.135141742182896,136.0,133.8
1360,0.3568276275298558,967.4850616760253,8388.576318359375,36.69239470733446,134.0,132.9
1380,0.38031404201174157,1025.7405889282225,9030.9529296875,37.246627583215016,148.0,152.1
1400,0.38540136548690496,1033.956682861328,8936.687841796875,37.79821500243852,134.0,151.2
1420,0.4091199968708679,1091.91467401123,9501.991625976563,37.26865348467836,148.0,159.6
1440,0.38762416002573447,1029.2337977905272,8868.884838867187,36.786209322628565,130.0,151.5
1460,0.4020452630938962,1062.036635620117,8993.523046875,35.83372422229731,124.0,148.2
1480,0.4161420822609216,1093.7258649291991,9327.82197265625,35.84152786262566,138.0,147.3
1500,0.4031106785289012,1054.0994041137694,8872.844262695313,34.83523405824089,118.0,146.7
1520,0.42878135292558,1115.7001429443358,9743.038793945312,37.99659030645853,170.0,141.0
1540,0.4236609069397673,1096.9039943237306,9694.5189453125,39.373571266420186,176.0,142.5
1560,0.437921201903373,1128.2682194213864,9738.089990234375,37.425992785347624,158.0,146.1
1580,0.441989633475896,1133.1293134765624,9804.679296875,36.78376859693526,162.0,145.5
1600,0.41653312093112616,1062.7033185424805,9109.388159179687,36.35882345733698,136.0,147.0
1620,0.44265198244247583,1123.9635268554684,9676.224829101562,37.51658585560508,156.0,144.0
1640,0.45977359992684796,1161.8633928222657,9828.059423828125,35.322723511559886,152.0,137.1
1660,0.45404665797250343,1141.9744976196287,9784.838671875,37.32809146791696,154.0,146.1
1680,0.43425806023878977,1087.0631421508788,9232.235205078125,35.64764012664091,136.0,142.5
1700,0.4614165689796209,1149.6997533569333,9869.871923828125,36.681876767310314,162.0,139.8
1720,0.44695382881909607,1108.609177124023,9352.779516601562,34.85476489677094,134.0,143.1
1740,0.46302665189141406,1143.1910678710935,9829.563671875,36.76159596098587,160.0,142.8
1760,0.4634706465061754,1139.0783302612303,9768.913427734375,37.08835015315562,158.0,140.7
1780,0.47201876622857525,1154.8381049194334,9991.633544921875,38.97797446940094,168.0,144.0
1800,0.46515892499592154,1132.9669184570312,9665.73994140625,37.274612485384566,148.0,145.8
1820,0.4772967340191826,1157.401745361328,10086.656640625,37.930348524672446,174.0,146.7
1840,0.4789767337497324,1156.3189667358397,10118.917431640624,39.11999657070264,180.0,143.7
1860,0.4676730926847085,1124.2045446777342,9840.471875,38.772077240399085,180.0,132.9
1880,0.488478289952036,1168.9930994873043,10057.361474609375,37.25720312013291,170.0,137.7
1900,0.4877868873300031,1162.3089430541993,9868.157861328125,37.18823579559103,148.0,148.2
1920,0.4855429025017656,1152.0924623413084,9801.407934570312,36.33902305189404,148.0,147.9
1940,0.501538875757251,1184.9620834350583,9974.2537109375,37.475369981583206,152.0,137.1
1960,0.4895533706527203,1151.8073856811518,10022.325146484374,39.47355633286643,178.0,136.8
1980,0.49715986085357144,1164.7783698730468,9899.9263671875,38.27449535684427,154.0,141.9
2000,0.4972062002401799,1160.0614899902341,10029.186572265626,37.67591297850013,172.0,138.9
