iterations,mean_reward,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1,-9091.791764767167,10607.014151573181, 9953.616190598048,13630.0,1888.78125
2,-2180.4923877024653,9336.91527891159, 3430.135538092969,4627.5,1361.390625
3,112.94283365204946,5699.203081071377, 770.4389619440317,996.875,1192.359375
4,145.5076093017312,4341.246725440025, 511.25093190620044,684.0625,970.96875
5,300.05998142480877,4197.551284432411, 322.86006185150654,459.6875,764.71875
6,333.4021961267294,4257.015492975712, 308.6436230311381,429.375,771.1875
7,424.5746619865299,5069.993930727243, 345.6397300436406,476.5625,956.34375
8,414.7159214293959,4952.9093289375305, 350.15986316807084,465.625,765.75
9,457.85018838822873,5616.536009788513, 371.55250347982974,543.75,707.578125
10,634.3513984400034,5641.444776296616, 235.81938554319368,325.3125,681.328125
11,717.622468020916,6502.851861000061, 226.91968299536074,392.1875,623.625
12,682.4996237194542,7444.617859840393, 416.5540523200384,625.0,777.890625
13,869.67982229352,7823.052659511566, 320.2556904099238,463.75,799.265625
14,747.6499072134499,8022.586443901062, 429.38699173200666,658.125,758.765625
15,887.2774113059043,7285.992318153381, 196.45708754848056,334.0625,675.796875
16,945.9001240658764,8194.522126197815, 278.79085779140496,441.5625,697.546875
17,868.6844051611424,7708.940050601959, 298.1174441784715,442.1875,722.34375
18,1009.1476635885239,9033.885511398315, 338.3565478134469,529.375,745.875
19,1018.2476659083369,8858.668002128601, 319.37316499824647,482.8125,780.328125
20,1105.6978059351447,9330.89986038208, 282.05911645390916,466.5625,715.96875
21,1073.2308204209805,8601.975125789642, 222.77544329975171,361.875,678.609375
22,1144.7726725578307,9498.521618843079, 280.4197046797226,450.625,672.328125
23,1146.1428485846518,9716.568677902222, 315.2420730795527,492.5,669.75
24,1205.9375998044009,9799.703928947449, 267.06922311101334,433.4375,614.578125
25,1249.642339669466,9532.56626033783, 187.6871790260334,324.6875,652.921875
26,1168.7950764620305,9211.499669075012, 197.6217661970386,362.8125,606.46875
27,1214.9167255342004,9469.033903121948, 217.3447039625903,355.9375,599.859375
28,1218.7836274755002,9602.88293170929, 220.83833406772828,377.8125,603.28125
29,1291.1316163682943,10240.469087600708, 244.18753227735124,413.75,613.5
30,1251.5343685591215,9550.791072845459, 189.4159303120814,325.9375,584.859375
31,1266.8580731105803,9863.401589393616, 206.63288584452175,369.0625,557.015625
32,1311.1948612499236,10354.951629638672, 224.60426351976548,411.25,580.21875
33,1268.1782122731213,10035.819442749023, 210.30603949861506,401.875,572.8125
34,1307.9595723986624,9993.850122451782, 181.4359228612975,343.125,555.609375
35,1283.461829302311,10190.363644599915, 222.21480076100062,413.4375,563.578125
36,1340.7332259654993,10363.778305053711, 209.0494980804342,375.625,594.140625
37,1361.2997713565833,10447.07141494751, 197.8123970974175,366.25,560.203125
38,1292.9110155081748,10203.29363822937, 223.5552927372455,404.0625,561.1875
39,1339.6813902711872,10214.933613300323, 192.71347539983708,347.1875,565.96875
40,1353.9730271911617,10308.512031555176, 176.23441436847975,347.8125,556.734375
41,1367.9792999327185,10306.534322738647, 175.18702495465186,329.6875,555.234375
42,1337.9474942064282,10335.209568023682, 193.32063219868724,373.4375,554.71875
43,1333.1402121424671,10350.096273422241, 191.77173310752278,382.5,550.078125
44,1352.9948175883299,10353.88335609436, 181.05891461095507,358.125,566.25
45,1341.9704601287845,10188.7964553833, 175.41437764900365,339.0625,555.046875
46,1376.9421510338777,10396.073720932007, 177.58146177963408,336.25,565.453125
47,1379.25733590126,10516.976749420166, 185.80196277020787,357.5,554.53125
48,1394.786870355606,10469.95251083374, 166.12759268028913,328.4375,542.953125
49,1361.4649415278432,10305.929248809814, 178.07823746075428,337.8125,559.125
50,1331.7598175263406,10330.422103881836, 201.6393912968599,380.3125,531.84375
51,1386.6490282773964,10180.947185516357, 134.04474331588426,280.9375,513.75
52,1389.9647100949283,10200.370025634766, 131.8494041534061,280.625,515.25
53,1346.05451222539,10072.45731639862, 156.0238724413557,310.625,509.71875
54,1399.5738322067264,10592.437232971191, 174.24808527236928,346.875,535.921875
55,1392.7052246952053,10428.652557373047, 158.50255483501132,322.8125,521.71875
56,1420.5795194625857,10519.13461303711, 136.2991988983739,305.625,513.46875
57,1404.3254097461697,10561.573040008545, 160.11420135001663,334.6875,514.78125
58,1425.5600805711745,10581.907190322876, 142.9926643277604,311.875,504.375
59,1396.4434296321867,10538.249576568604, 155.4739517392045,340.0,499.875
60,1414.9753457415102,10468.040204048157, 136.4118347622616,302.5,507.703125
61,1432.639404273033,10651.712965011597, 147.62763790744793,316.875,509.25
62,1428.5922040224073,10563.59781074524, 134.6267485014505,304.375,500.578125
63,1425.2253422403342,10573.53853225708, 125.89671299092333,310.625,488.765625
64,1432.2233644664288,10699.079859733582, 144.54406626875243,326.875,493.828125
65,1442.7601548194878,10745.455863952637, 149.6796095879763,322.8125,505.828125
66,1415.4364580535898,10511.583652496338, 135.8071063843654,310.625,490.453125
67,1436.7648068773735,10513.760688781738, 121.79158805172938,284.0625,493.265625
68,1449.4247921085362,10856.387134552002, 139.72370964657784,336.5625,501.5625
69,1429.8730214023594,10637.32924747467, 131.48265777988308,317.5,496.734375
70,1462.515542402268,10812.677459716797, 132.42777857095524,311.25,503.578125
71,1445.0144690799707,10740.973691940308, 146.34317906782053,319.0625,503.109375
72,1467.7964727401732,10821.101104736328, 127.95561187007706,306.25,497.90625
73,1425.1752568757524,10640.409056663513, 139.27288670684197,324.0625,488.484375
74,1438.486755764484,10615.28402709961, 132.54553369887526,302.1875,505.171875
75,1457.6277413654327,10811.429531097412, 135.7510897722641,317.1875,502.546875
76,1467.0633297824857,10827.398399353027, 131.8716851040499,308.4375,500.296875
77,1470.911020708084,10865.813400268555, 132.0719222316984,311.25,505.5
78,1468.9094666528697,10720.33288192749, 117.71751240652975,284.6875,489.421875
79,1448.4493684005745,10617.40110206604, 121.72220635465862,290.0,489.984375
80,1447.3537061405195,10708.903999328613, 123.95634188687654,309.6875,504.5625
81,1460.6917627573014,10691.759592056274, 119.82281654071812,289.375,495.84375
82,1483.6254553890224,10827.53447341919, 113.67365159868223,287.5,494.109375
83,1468.9677163600923,10805.076515197754, 124.82280204162271,301.5625,498.328125
84,1454.8535894060137,10726.68409538269, 125.91444923552444,303.75,493.546875
85,1469.7492119503024,10833.46019744873, 126.24552589278574,306.25,485.34375
86,1475.5198977470393,10834.046020507812, 125.26006854736625,299.0625,491.4375
87,1475.4128769862637,10813.056178092957, 119.15172910902402,295.0,482.296875
