iterations,mean_reward,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1,-21937.15113976717,10607.014151573181, 9953.616190598048,13630.0,1888.78125
2,-4781.744257222414,8470.912510871887, 2303.234584847487,2985.625,1275.328125
3,-480.342691633701,1773.5134282112122, 206.45316185315824,231.875,358.359375
4,-11.93784767508502,1146.1113319396973, 63.23969751515506,55.625,95.578125
5,-9.440385851860023,1061.7103762626648, 57.340696253791975,40.9375,102.28125
6,20.41727462887764,1063.252137184143, 49.621657018182304,37.5,80.296875
7,17.0709830725193,1057.1244983673096, 53.68272721928952,35.9375,84.703125
8,55.59062559247017,972.7749333381653, 45.76612384246255,19.375,61.359375
9,77.78298108339311,825.6537618637085, 37.098647964317934,4.0625,42.046875
10,65.69792315125466,847.6431131362915, 41.669094512893935,17.5,36.890625
11,95.70769424080846,869.0953812599182, 37.34061909754382,8.125,26.15625
12,87.36203973650933,852.7265200614929, 36.20646600486748,6.875,33.1875
13,79.44600462555883,857.2037515640259, 35.42173623944109,3.75,45.515625
14,83.92033797025674,828.7185220718384, 38.28405401134785,9.6875,28.828125
15,101.23996571660044,803.3878469467163, 34.91703689845065,3.4375,18.421875
16,96.33376214623448,838.0400395393372, 35.43593474866793,6.875,22.921875
17,96.37391450762746,835.0307173728943, 37.77378584114285,6.875,22.453125
18,100.79050797700879,785.145631313324, 34.59129829793528,0.625,20.25
19,97.88757737278937,811.9565896987915, 35.10981762383744,2.5,24.046875
20,80.9389120805263,845.0148787498474, 38.56434138886107,12.8125,29.390625
21,108.6632020950317,819.7829351425171, 34.68862618315325,2.5,15.375
22,101.46384135007854,791.5630898475647, 34.954219313905924,3.125,16.96875
23,103.1997506010532,790.0498576164246, 34.75861647623242,1.875,16.96875
24,105.94491006612778,790.8301386833191, 34.42643590767693,2.5,13.6875
25,39.7566795635221,901.456446647644, 64.87115768137846,38.125,38.578125
26,105.80806669592852,849.1907024383545, 35.10806608772782,6.5625,16.359375
27,106.4527567088603,848.8307495117188, 35.199756015891296,4.0625,19.3125
28,106.25813013076778,827.5534462928772, 34.93794084484398,4.375,15.984375
29,109.05546833872792,765.0168209075928, 35.415836086616764,2.8125,6.703125
30,108.7886473190784,772.1393938064575, 34.50505210090341,2.8125,7.96875
31,111.7342134296894,772.8728017807007, 34.47036538585235,1.25,7.640625
32,110.41690859317778,768.7878046035767, 34.94947500207877,3.4375,5.109375
33,100.99191386461254,808.8590397834778, 35.29372730333853,3.75,18.984375
34,110.5408232069015,777.6812505722046, 35.203519439419324,2.8125,7.171875
35,109.91876957654948,767.543646812439, 34.519028382972465,2.8125,6.28125
36,106.90399126768108,784.9738488197327, 35.07953052551966,4.375,9.28125
37,110.68404054164881,787.9626893997192, 34.75754226498975,3.75,7.171875
38,107.40991710662837,788.2253575325012, 36.08290480754658,5.0,8.390625
39,117.2269777703285,804.0967841148376, 34.16847246594625,1.875,6.234375
40,115.38885698080058,774.6031427383423, 34.139035403888556,0.9375,5.015625
41,115.85199288487428,812.5521812438965, 34.42655389280117,2.1875,8.25
42,109.94471242547029,780.6133031845093, 34.373090359571506,0.9375,10.828125
43,115.54299865007398,784.6273775100708, 34.16613301822508,1.875,4.96875
44,113.62266821742053,797.3646054267883, 34.238602022844134,0.9375,9.890625
45,108.4391196930408,773.8334445953369, 34.43017753467575,0.625,11.671875
46,114.52694992303846,766.2109293937683, 34.08216120810539,0.9375,4.59375
47,120.35323398947712,798.0525226593018, 34.208944467740366,1.25,3.421875
48,118.66950008273125,850.7167854309082, 34.70369453913008,3.4375,9.375
49,115.13739607572552,802.709005355835, 34.254746283826535,0.9375,9.28125
50,72.20446639776216,859.6702933311462, 51.45587356870965,34.6875,8.015625
51,97.57607409358019,845.3885388374329, 43.47173137294885,16.875,8.484375
52,114.3348896861076,758.8442525863647, 34.18861061533971,1.5625,2.8125
53,115.65499714851376,750.7832221984863, 34.026200704829535,0.3125,2.25
54,118.81553862929339,775.355477809906, 33.98996422524215,0.3125,2.90625
55,118.45736253380772,775.0466113090515, 34.03199321187276,0.3125,3.1875
56,116.72425146222109,757.3627614974976, 33.999288175284164,0.0,2.671875
57,112.33313830733296,757.2706670761108, 34.25391899321403,1.5625,4.40625
58,115.78919610977167,764.4984860420227, 34.03801707351522,0.0,4.546875
59,116.5647405958175,808.5387210845947, 35.009421431183,3.75,4.78125
60,109.5193142545223,772.5708312988281, 34.58783447759197,3.4375,6.46875
61,115.12448807716365,758.0070576667786, 34.04642400282319,0.0,4.21875
62,118.60644679427142,775.3374938964844, 34.04167302910355,0.3125,3.09375
63,119.71801544904704,794.4969463348389, 33.985479797947846,0.9375,3.9375
64,119.9091879510879,773.4659972190857, 34.000012210774,0.3125,1.640625
65,116.93331079244608,759.526505947113, 33.988548740628175,0.3125,2.34375
66,116.89033231496803,768.3921484947205, 34.008808120168396,0.3125,3.65625
67,117.02820752859114,757.9811515808105, 34.002535032850574,0.0,2.484375
68,115.11059897422784,778.3404321670532, 34.09731150045991,0.3125,6.703125
69,116.2759613192081,748.6512718200684, 34.00335974909831,0.0,1.828125
70,121.8456956160068,807.9632787704468, 34.00632445720839,0.9375,3.9375
71,116.02500981569284,770.6092534065247, 34.051061209713225,0.625,4.3125
72,119.37160532355303,799.5335140228271, 34.13972886215197,1.5625,4.078125
73,116.21419096708291,755.1135649681091, 34.021587864117464,0.0,2.8125
74,114.13718500137323,776.8077511787415, 34.34618191381969,3.125,3.328125
75,117.70694967985152,787.6923384666443, 34.50271144974977,1.5625,3.890625
76,115.67915195107454,779.5258975028992, 34.43689353909576,2.8125,2.765625
77,118.65368090510364,778.4845433235168, 34.07457185914973,1.25,2.15625
78,120.76233081817622,807.2180871963501, 34.202245431341,1.875,3.46875
79,119.79710354566566,799.7542271614075, 34.13639206177322,1.25,4.171875
80,117.53953980326649,781.8266096115112, 33.99989900190849,0.625,4.546875
81,118.02624451637264,773.2970519065857, 34.03562859517115,0.3125,3.328125
82,116.5368627727031,767.9746189117432, 34.026015089737484,0.625,3.46875
83,109.58279348611828,808.4650831222534, 35.14325135857507,6.5625,7.078125
84,109.99697360515587,795.3625845909119, 34.28546049074794,3.75,8.859375
85,117.93938676476473,770.8386940956116, 34.11181066801146,0.9375,2.15625
86,115.44955585837359,765.4738626480103, 34.04324836077285,0.3125,4.546875
87,118.22353353142732,797.5382013320923, 34.69367462374794,2.1875,3.9375
88,116.02919948935504,777.1626667976379, 34.07411271407909,0.625,5.25
89,115.90421146392816,778.1417770385742, 34.02996726211859,0.3125,5.953125
90,119.64777152180665,787.3870162963867, 34.09733444226731,1.25,2.53125
91,125.15477133631703,852.3640747070312, 34.17494601321232,2.5,5.0625
92,121.27008368492122,812.6666798591614, 34.09075673131156,1.25,4.6875
93,122.28493311882013,858.3105063438416, 34.56389412581484,4.0625,6.28125
94,122.78094486117358,796.7247433662415, 33.973850481706904,0.625,1.921875
95,117.30229251503943,810.4971160888672, 34.16054406434705,2.5,6.1875
96,120.23359142422672,832.0361924171448, 34.389367660318385,3.125,5.71875
97,116.6779739689826,756.0908284187317, 34.005965208023554,0.0,2.53125
98,120.11428130030626,799.3882632255554, 34.14919317474414,2.1875,2.484375
99,112.66933660387988,807.6184415817261, 34.809955405129585,4.6875,6.84375
100,119.86693591475482,805.6550660133362, 34.140524478425505,2.1875,3.609375
