iterations,mean_reward,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1,-63165.4593735816,10607.014151573181, 9953.616190598048,13630.0,1888.78125
2,-12288.0588600896,10509.787929534912, 2180.1220381312014,2616.875,872.53125
3,-1791.6965943296655,3582.8090863227844, 321.5485579196593,480.9375,419.578125
4,-491.47120488440123,3157.4251041412354, 117.37874522359198,176.25,359.8125
5,-458.58212512025784,4343.701927661896, 142.03637856103887,182.1875,434.953125
6,-211.40619615706237,3788.0570182800293, 89.87539473373181,111.875,407.765625
7,-144.17679123839844,4952.379070281982, 110.61489590160272,141.5625,440.015625
8,-8.69594664397664,4615.084057807922, 83.02380088770951,128.75,387.84375
9,247.14597371177297,6074.689611911774, 81.28026391872481,124.375,437.015625
10,326.40451192135333,6444.769258975983, 80.38174185896969,132.8125,427.828125
11,468.0207908888233,7476.565846920013, 85.22097533663964,150.625,450.5625
12,418.11551324905486,7337.623097419739, 89.66306993090802,154.375,446.71875
13,569.1725989947281,7484.059830665588, 70.91537231664734,126.25,446.8125
14,539.5269601346827,8060.887063503265, 89.07383863922405,165.0,462.28125
15,609.8103647234111,7683.111941337585, 68.32177729602518,128.125,457.078125
16,627.1994868163601,8316.140527248383, 83.26509586087195,160.0,459.703125
17,662.5276905714954,8182.734447479248, 74.28196279169151,148.4375,454.171875
18,734.3194173124284,8552.221177577972, 74.3343378872305,150.0,454.453125
19,725.0043422521849,8921.642968177795, 83.0648471963068,175.625,468.375
20,809.4065101805172,9056.339346885681, 74.53789375895576,168.4375,460.734375
21,825.6438734884077,9328.681924819946, 80.052874224285,178.4375,461.390625
22,815.2108778541187,9222.753270149231, 78.84607983460228,179.0625,456.046875
23,775.7314082321591,9046.812664031982, 79.81372065669166,179.6875,454.875
24,823.1841508825819,9216.333740234375, 75.89151757796208,184.0625,456.5625
25,816.6807193183777,9709.725732803345, 89.59663239670044,206.5625,470.71875
26,889.9695813557482,9786.570614814758, 81.2157819767599,202.5,458.765625
27,869.9689108437033,9627.404525756836, 78.57739738810596,204.375,458.25
28,898.4920139840033,9608.227592468262, 75.23694807428546,197.8125,449.15625
29,885.841336912752,9923.423476219177, 84.77804347140773,222.1875,452.765625
30,961.3352323575091,9953.730026245117, 76.68840148839809,193.4375,452.53125
31,917.0794612935133,9768.293138504028, 77.96895833867893,198.75,447.984375
32,959.1813629137469,10036.473554611206, 75.87891897227382,215.625,453.09375
33,963.4760211515968,9973.453527450562, 75.23981056593766,205.625,449.390625
34,962.7543416140688,9933.257242202759, 74.78566875222896,199.6875,450.28125
35,990.7324605890608,10088.461059570312, 73.74194872958469,210.3125,447.9375
36,999.7240317680407,10120.822204589844, 74.18807748123072,205.0,448.5
37,1006.5094167062343,10095.27241897583, 72.37151353222725,205.0,445.6875
38,1005.7853775493859,10128.5179977417, 73.97739237800124,208.75,441.28125
39,1033.8344666124613,10129.206731796265, 70.41699892756878,202.8125,437.109375
40,1044.1988780807733,10241.505840301514, 71.2954561648512,209.0625,438.5625
41,1021.0692635696469,10118.990557670593, 72.56764242805366,204.375,435.515625
42,1031.9319649014506,10225.452959060669, 73.50359770708019,213.125,432.515625
43,1033.8545431548846,10245.684412002563, 74.18459221016383,214.375,429.984375
44,1071.1052747246285,10251.41092300415, 70.01975468642195,201.25,427.828125
45,1099.27773465871,10437.616165161133, 70.57722227144404,208.75,426.609375
46,1073.5638498635672,10319.36372756958, 71.58365203198628,210.0,422.390625
47,1093.3462515045685,10390.169112205505, 71.98126091620361,207.5,417.28125
48,1049.2199316068945,10244.128869056702, 74.8742912522066,213.4375,411.796875
49,1106.4871853141522,10442.75690317154, 71.52846120300819,213.75,410.671875
50,1084.046581680268,10333.048717021942, 73.13762861595751,210.9375,405.9375
51,1120.2976168304158,10338.4852809906, 69.51738538921927,196.875,402.9375
52,1145.8025320361921,10588.691413879395, 71.74964621879917,210.625,402.5625
53,1088.6547266527195,10224.662461280823, 70.93679892452201,210.9375,390.65625
54,1148.0031790393696,10605.758003234863, 70.73905511581688,219.375,400.078125
55,1134.3997391310259,10479.639731407166, 70.4806381494418,214.0625,395.0625
56,1158.1396341602085,10544.025226593018, 69.2205788079882,210.625,393.9375
57,1182.3003106817778,10588.653671264648, 68.22358158617863,202.8125,391.5
58,1193.2773654616321,10692.275230407715, 69.72615704225609,206.875,389.671875
59,1189.0638354278199,10644.899879455566, 69.15197385834472,205.9375,388.21875
60,1194.7921064946859,10676.428001403809, 68.90494444660726,209.0625,386.90625
61,1174.2875635016244,10511.217651367188, 68.45993953966536,202.5,383.15625
62,1170.4921028731042,10584.223503112793, 70.34239034418715,210.3125,384.328125
63,1187.3719348968734,10545.540939331055, 67.99724788543244,199.0625,382.6875
64,1192.4374411150347,10603.261751174927, 68.77735273749568,203.75,380.578125
65,1201.2067272906716,10713.371589660645, 69.48726419915329,211.25,382.78125
66,1170.3141324042808,10413.627069473267, 67.96662724972703,196.875,375.703125
67,1208.22773856399,10705.683578491211, 69.81304145956528,205.9375,377.90625
68,1201.8102924197738,10687.805038452148, 68.94701324761263,210.625,380.390625
69,1211.6729852571443,10717.465515136719, 68.96401897640317,210.3125,376.6875
70,1196.93544631658,10586.61899471283, 68.42454141486087,205.9375,372.328125
71,1220.0734055411958,10702.12760925293, 67.82666906571103,204.0625,377.15625
72,1204.4565482368926,10619.073684692383, 67.97475952643435,205.9375,373.546875
