episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
640,0.03503653335776562,348.13367097784067,8050.524145507812,104.55423351683422,234.0,505.2
660,0.04621852077468134,457.20269575605636,7115.917352294922,69.7361539640231,182.0,435.3
680,0.03755505182706429,369.4294748730725,6606.481927490235,65.55338206395973,208.0,416.1
700,0.04729452140036017,462.62193943641614,7553.247094726563,81.96549553556834,238.0,400.2
720,0.052279374337021525,508.30922694981564,6927.834375,61.67153168523218,202.0,366.9
740,0.07040964516470467,680.487657256989,7290.33994140625,56.01606962282094,178.0,319.5
760,0.07529747524014567,723.3560742229078,8098.345922851562,66.44262304604345,232.0,332.1
780,0.06489607102414822,619.5273899852997,7248.330700683594,58.747749542002566,216.0,320.4
800,0.08464192105492999,802.9134126157267,8156.036303710937,57.658768892870285,204.0,336.0
820,0.09434010554873992,889.2023022189562,8644.418041992187,60.45625952691189,208.0,329.4
840,0.09516194489587519,891.1298301454284,8624.529711914063,62.655218052945564,222.0,298.5
860,0.09051077818446487,841.7228255632945,8326.461791992188,65.73390473597392,224.0,270.9
880,0.10467504673297583,967.5653659493895,8578.507165527344,55.74721550641116,206.0,263.4
900,0.11143520903839033,1023.4443162116688,8870.77666015625,58.742201210791244,202.0,255.0
920,0.1103204568723342,1006.6378085235425,8813.430224609376,57.08964898865088,194.0,276.6
940,0.1202349984377122,1090.022908028186,9563.224780273438,63.004408872878415,228.0,279.6
960,0.1190968404904396,1072.495551895874,8958.35517578125,51.49509738449706,186.0,275.7
980,0.1363274100378476,1219.726216064021,9571.449072265625,50.51271821297705,196.0,246.0
1000,0.12970484070258975,1153.0865780411405,9053.878564453125,48.117822331225035,178.0,239.1
1020,0.13051341504731226,1152.8115219917613,9304.566381835937,57.60035307235084,184.0,236.1
1040,0.12179730288045221,1069.0373502562172,8238.1298828125,43.31772892336594,146.0,216.0
1060,0.1342714664600262,1171.1580313700913,9085.178076171875,49.915515308012985,174.0,222.3
1080,0.1355447198034966,1174.8376998829772,9305.418481445313,55.30919952535769,170.0,239.7
1100,0.12890846501747433,1110.129621326807,8532.206811523438,44.7823490500683,130.0,242.4
1120,0.13184318812990342,1128.6605155752216,9255.908813476562,56.864250644721324,200.0,238.2
1140,0.14865027652233492,1264.677391807211,9685.612646484375,49.84902725379216,194.0,229.2
1160,0.1418084891635658,1199.2770849890076,8676.403491210938,39.380721918214114,136.0,203.1
1180,0.13776430702726544,1158.0096028453422,8984.248364257812,49.54801717507216,170.0,221.1
1200,0.1505138550080801,1257.3564183852054,9687.589697265625,52.09230396944331,186.0,233.7
1220,0.13045323760941124,1083.5839825657617,8287.676171875,43.31024846975779,142.0,215.4
1240,0.13729904053058703,1133.5893592232721,8688.380102539062,46.05733201276744,162.0,211.8
1260,0.12781728562263198,1049.2071804305306,8134.0714111328125,44.02142096955795,146.0,211.5
1280,0.15368239749350324,1254.135199655569,9295.352807617188,46.12707261771429,170.0,204.3
1300,0.16277281271329117,1320.837596871183,9749.78447265625,46.66386002029467,196.0,199.8
1320,0.16202540109693472,1307.18506164751,9826.202294921875,50.371083373622966,210.0,196.2
1340,0.16485477311670138,1322.5666662464616,9576.4529296875,46.42478564719204,174.0,186.6
1360,0.1428631414147418,1139.7470460547804,8094.069482421875,38.0733727714658,130.0,158.7
1380,0.16047198391445364,1273.169254554808,9213.692163085938,43.11383463591337,180.0,174.0
1400,0.16923987603902332,1335.2843790451066,9507.21787109375,44.03184001129121,172.0,174.0
1420,0.16205197705680732,1271.7465930103403,9020.23720703125,41.14016992332254,152.0,174.6
1440,0.1647071535066175,1285.5567525099846,9114.527099609375,43.08973470308119,156.0,165.9
1460,0.17017259446371327,1321.034664150607,9601.923315429687,46.47000564644113,172.0,195.0
1480,0.17876528254125218,1380.521566822182,9731.925830078126,42.59272398907924,166.0,186.9
1500,0.18413158291301102,1414.3867840857936,10114.436328125,46.58009801682565,186.0,189.6
1520,0.16391854987831067,1252.7409774481725,9144.141552734374,44.8174649107561,172.0,180.0
1540,0.17974039009191217,1366.3385879621667,10227.921630859375,52.70914764194167,230.0,185.7
1560,0.18452236272698883,1395.5715935878222,10036.435205078125,46.94308728829492,206.0,171.0
1580,0.19075177771250368,1435.3240277927484,10232.99091796875,46.13482700980967,200.0,180.6
1600,0.18420821717234048,1379.1889505386353,9454.416528320313,39.558871269226074,142.0,171.9
1620,0.18093612242382734,1347.964417949505,9854.553662109374,49.98926606830209,190.0,183.0
1640,0.19013718730031998,1409.4603709942662,10026.231958007813,45.7172043655999,186.0,181.2
1660,0.1916333199358405,1413.6785642248578,10236.935400390625,49.281706588622185,204.0,183.3
