episodes,mean_raw_ep_return,mean_yield,mean_leach_total,mean_N_total,mean_W_total
20,-7.274324928410351,-10314.207851562507,11297.98828125,9985.621850850153,12752.0,1841.1
40,-6.043435894767754,-10488.137851562506,11297.98828125,10159.681584004498,13006.0,1816.8
60,-5.788396816351451,-10109.327851562504,11297.98828125,9736.333530870266,12496.0,1838.7
80,-5.930071994278114,-10288.027851562507,11297.98828125,9995.971108009759,12774.0,1801.5
100,-5.706191019969992,-9857.267851562505,11297.98828125,9497.026122198347,12202.0,1820.7
120,-5.475243394705467,-9390.257851562506,11297.98828125,9111.216442510859,11704.0,1753.8
140,-5.428804291714914,-9235.267851562505,11297.98828125,9012.217141367495,11484.0,1770.9
160,-5.19906932512531,-8775.477851562506,11297.98828125,8568.058892217092,11006.0,1696.2
180,-4.813635994889774,-8039.827851562508,11297.98828125,7949.926681992971,10188.0,1614.9
200,-4.296745331399142,-7111.997851562504,11297.98828125,7051.873000727035,9100.0,1552.8
220,-3.958571997191757,-6493.9064105224625,11212.048046875,6621.616260969453,8432.0,1458.3
240,-3.4507009465945884,-5625.717851562504,11297.98828125,5770.300356527604,7430.0,1401.0
260,-2.829502606531605,-4599.82789331055,11280.7728515625,4839.123017593427,6242.0,1319.1
280,-2.3593670864589513,-3835.4416152343774,11264.1669921875,4125.594315361324,5330.0,1276.8
300,-1.9211022340226918,-3124.793801635744,11297.950634765624,3499.275782207679,4588.0,1168.5
320,-1.365005013323389,-2233.1086323852514,11098.86943359375,2714.992343453411,3564.0,1064.7
340,-0.9935513000003994,-1638.4302338256791,11187.087109375,2153.3971131068656,2874.0,1032.3
360,-0.6324990736786276,-1054.013614379879,11273.647998046876,1649.3995037532645,2266.0,950.1
380,-0.4225282117957249,-710.7369515380827,11235.2091796875,1284.4526644902885,1876.0,912.6
400,-0.012144017813261599,-20.334372314450594,11055.984912109376,796.347481669765,1206.0,740.4
420,0.0897009035688825,154.4927040405292,10653.181665039063,618.9185116972309,948.0,708.9
440,0.17293582757702097,300.06871710205166,10394.10576171875,430.72647427110644,714.0,707.4
