iterations,mean_reward,mean_yield,mean_leach_total,mean_N_total,mean_W_total
1,-401.7511397671712,10607.014151573181, 9953.616190598048,13630.0,1888.78125
2,-52.00649584293395,10271.507558822632, 9453.115153603929,13552.8125,1522.640625
3,-5.543297810033659,9534.654746055603, 8591.684079324059,12279.375,1374.5625
4,209.21726918429084,9965.773857831955, 8762.233150087752,12573.4375,1241.25
5,354.2328069829931,8959.137616157532, 8160.919019861901,12475.625,964.828125
6,442.09127828597974,8993.378335952759, 7372.46897679637,11405.625,889.875
7,427.7322964406008,9344.043403625488, 7367.628150761895,11494.0625,953.296875
8,635.9231586861601,9566.167144298553, 6368.609701714916,9840.625,795.9375
9,643.0638477516165,9776.165580749512, 6454.362725265017,10108.75,819.609375
10,727.8242562651627,9492.51901960373, 6122.521668145044,9813.75,701.8125
11,654.8428411555282,9741.716953277588, 6741.907455368804,10605.0,803.953125
12,705.566883256435,9957.019430160522, 6167.409081932896,9706.25,788.765625
13,726.0658626425255,9222.92475605011, 5098.561460081348,8446.5625,664.6875
14,735.708421230315,9889.323474884033, 5553.253185664584,8760.625,751.640625
15,679.5634080731858,9832.254554748535, 6038.097889841716,9589.6875,794.484375
16,717.1399233397829,10019.49713921547, 5558.051430982283,8879.6875,787.21875
17,786.8316927039613,10342.773732185364, 6279.741323876637,9744.0625,770.296875
18,736.0630222702015,10123.599034309387, 6088.416617784269,9483.125,784.96875
19,757.3303085613238,10045.751560211182, 5995.913869432952,9520.625,754.453125
20,802.4114233946789,10024.310831069946, 5794.93831960132,9089.0625,710.390625
21,788.6715127301206,10300.571290016174, 6293.636916594132,9801.25,762.5625
22,807.073135546445,10248.316919326782, 5914.033227987576,9240.3125,738.328125
23,823.5457560706128,10830.016651153564, 6641.520147276577,10306.875,806.90625
24,835.702026417254,10268.624376296997, 5697.292458252294,9226.5625,715.21875
25,826.169696291684,10324.471996307373, 5732.536606892325,9136.25,731.90625
26,821.0938430094704,10343.256127357483, 6367.573603584497,9888.125,739.21875
27,830.0562808608993,10534.760878562927, 5740.09179776203,8910.0,758.578125
28,827.6893260836591,10659.455777168274, 5604.837639848694,8867.5,778.640625
29,838.2701317620266,10670.61792755127, 6110.017205881872,9701.25,770.625
30,837.8279723000513,10291.870085716248, 6128.9932223405385,9659.0625,716.625
31,805.8553689551346,10235.714344978333, 5880.258734024905,9415.3125,737.625
32,847.2993080544466,10343.982977867126, 5879.328143278215,9433.125,715.5
33,820.5501533508293,10121.816640853882, 5685.16740333278,9101.25,707.90625
34,880.0283929061877,10702.553124427795, 5855.058042484382,9263.75,737.25
35,889.9680577480779,10688.444977760315, 6409.110263714613,9973.4375,726.1875
36,886.5238074135772,10224.122211456299, 5302.8169112533815,8775.9375,662.625
37,874.4878285133825,10068.643293380737, 4791.572103972278,7886.5625,651.234375
38,878.9528737926479,9985.61945772171, 5087.318318634465,8424.6875,635.25
